donor_id,name,blood_type,segment,rfm_score,recommendation_score,expected_response_rate,city,email,expected_donation
D00001,Allison Hill,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Ahmedabad,donaldgarcia@example.net,0.35
D02439,Renee Lowery,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Indore,yvettecampbell@example.net,0.35
D09667,Matthew Williams,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Delhi,lharris@example.com,0.35
D07560,Kyle Gould,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Nagpur,tjohnson@example.com,0.35
D02764,Alexander Best,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Bangalore,ocampbell@example.com,0.35
D02760,Jeffrey Jones,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Hyderabad,randolpherin@example.net,0.35
D00589,Desiree Mccoy,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Ahmedabad,mannleroy@example.org,0.35
D01691,Linda Welch,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Nagpur,cwebb@example.org,0.35
D01693,Samuel Morgan,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Chandigarh,alanward@example.net,0.35
D08358,Christopher Johnson,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Mumbai,jeffreyromero@example.com,0.35
D06607,Leslie Kirby,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Bangalore,michellehorton@example.org,0.35
D04144,Michael White,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Chandigarh,torreschristian@example.com,0.35
D07538,Marc Rosales,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Bhopal,danielle52@example.com,0.35
D04154,Michael Torres,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Nagpur,wgreen@example.com,0.35
D04155,Monica Rojas,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Pune,sduncan@example.net,0.35
D06327,Michael Oneill,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Ahmedabad,martinezeileen@example.net,0.35
D08387,Jerry Levine,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Kolkata,ojohnson@example.net,0.35
D09717,Kristen Hamilton MD,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Ahmedabad,william75@example.org,0.35
D00536,Gary Salazar,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Lucknow,knelson@example.org,0.35
D04176,Rebekah Gomez,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Ahmedabad,williamsjennifer@example.net,0.35
D04187,Nancy Spence,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Nagpur,edwardbarnes@example.com,0.35
D02775,Terry Castillo,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Bangalore,tmendoza@example.com,0.35
D05986,Brian Torres,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Chennai,qhines@example.com,0.35
D04071,Amber Booker,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Hyderabad,allenfields@example.org,0.35
D09046,April Morgan,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Kochi,janetestes@example.org,0.35
D06006,Eric Maynard,A+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Delhi,vwest@example.org,0.35
D09093,Tiffany Mcfarland,B+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Pune,leahyork@example.org,0.35
D02910,Patrick Brooks,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Pune,fisherjohn@example.net,0.35
D02906,Brad Marshall,O+,At Risk,0.5555555555555556,0.7444444444444445,0.35,Indore,andrewburton@example.net,0.35
